season	species	plot	sex	weight	weight_units	collection_date	note
2013	DM	2	F	NA	grams	2013-07-16	
2013	DM	7	M	33	grams	2013-07-16	
2013	DM	3	M	NA	grams	2013-07-16	
2013	DM	1	M	NA	grams	2013-07-16	
2013	DM	3	M	40	grams	2013-07-18	
2013	DM	7	M	48	grams	2013-07-18	
2013	DM	4	F	29	grams	2013-07-18	
2013	DM	6	F	37	grams	2013-07-18	
2013	DO	8	F	52	NA	2013-08-19	
2013	DO	3	F	33	NA	2013-10-17	
2013	DO	3	F	50	NA	2013-10-17	
2013	DO	9	F	40	NA	2013-12-10	
2013	DO	1	M	45	NA	2013-12-10	
2013	DO	8	F	41	NA	2013-12-11	
2013	DS	9	F	117	NA	2013-11-12	
2013	DS	11	F	126	NA	2013-11-13	
2013	DS	17	M	132	NA	2013-11-13	not calibrated
2013	DS	14	F	113	NA	2013-11-13	not calibrated
2013	DS	11	F	122	NA	2013-11-13	
2013	DS	4	F	107	NA	2013-11-13	
2013	DS	4	F	115	NA	2013-11-13	
2014	DM	1	M	40	NA	2014-01-09	
2014	DM	1	F	36	NA	2014-01-09	
2014	DM	1	F	51	NA	2014-03-13	
2014	DM	1	F	44	NA	2014-03-13	
2014	DS	1	F	146	NA	2014-03-13	
2014	NA	2	NA	NA	NA	2014-01-08	
2014	DM	2	M	44	NA	2014-01-08	
2014	PF	2	F	7	NA	2014-01-08	
2014	DM	2	M	45	NA	2014-01-08	
2014	OT	2		NA	NA	2014-01-08	
2014	DS	2	M	157	NA	2014-01-08	not calibrated
2014	OX	2		NA	NA	2014-01-08	
2014	NA	2	M	218	NA	2014-02-18	not calibrated
2014	PF	2	F	7	NA	2014-02-18	
2014	DM	2	M	52	NA	2014-02-18	
2014	PF	3	M	8	NA	2014-03-11	
2014	NA	3	F	NA	NA	2014-04-08	
2014	NA	3	NA	NA	NA	2014-05-06	
2014	NA	3	F	182	NA	2014-05-18	
2014	OT	3	F	29	NA	2014-06-09	
2014	NA	3	F	115	NA	2014-07-08	
2014	NA	3	M	190	NA	2014-07-08	
2014	DM	4	F	37	NA	1978-01-08	check year
2014	DM	4	M	NA	NA	1978-01-08	check year
2014	DM	4	F	48	NA	1978-01-08	check year
2014	DO	4	M	52	NA	1978-01-08	check year
2014	OL	4	M	35	NA	1978-01-08	check year